Title,ProcedureName,Standard,Revision,SystemEnd,EquipmentGroups,Customers,SetupHours,TestHours,ReportingHours,Samples,ConsumablesCost,Description
TP-GM-01,Resonance Durability,Appx C,Rev. 01,AMBOS,,CLI-GM,0,0,0,1,0,
TP-GM-02,Physical Durability Aging Cycle,Appx C,Rev. 01,AMBOS,,CLI-GM,20,300,14,1,0,
TP-GM-03,Substrate Retention Cold Vibration Aging,Appx C,Rev. 01,AMBOS,,CLI-GM,16,150,16,1,0,
TP-GM-04,Container Thermal Shock Ageing Cycle,Appx C,Rev. 01,AMBOS,,CLI-GM,15,20,12,1,0,
TP-GM-05,Substrate Thermal Shock,Appx C,Rev. 01,AMBOS,,CLI-GM,11,700,13,1,0,
TP-GM-06,Exhaust backpressure,GMW16372,Rev. 01,AMBOS,,CLI-GM,0,0,0,1,0,
TP-GM-07,Joint Leakage,GMW15261,Rev. 01,AMBOS,,CLI-GM,9,9,7,1,0,
TP-GM-08,Hanger Dynamic Stifness,GMW14182,Rev. 01,AMBOS,,CLI-GM,9,5,19,1,0,
TP-GM-09,Muffler Thermal Shock,GMW14380,Rev. 01,AMBOS,,CLI-GM,0,0,0,1,0,
TP-GM-10,Hanger Durability,GMW14381 / GMW16941,Rev. 01,AMBOS,,CLI-GM,0,0,0,1,0,
TP-GM-11,Pipe Durability,GMW14390 / GMW18104,Rev. 01,AMBOS,,CLI-GM,0,0,0,1,0,
TP-STL-01,Vibrational Analysis,90.160 - 9.4,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-02,Modal Analysis,90.160 - 9.5 and 7-A7515,Rev. 01,AMBOS,,CLI-STL,12,16,40,1,0,
TP-STL-03,Thermal Shock on Engine Bench,90.160 - 9.6,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-04,Resonance Durability,90.160 - 9.7,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-05,Converter thermal shock,90.160 - 9.8,Rev. 01,AMBOS,,CLI-STL,25,30,41,1,0,
TP-STL-06,Hot vibration test,90.160 - 9.9,Rev. 01,AMBOS,,CLI-STL,21,82,25,1,0,
TP-STL-07,Cold vibration test,90.160 - 9.10,Rev. 01,AMBOS,,CLI-STL,21,82,24,1,0,
TP-STL-08,Hot fatigue test,90.160 - 9.11,Rev. 01,AMBOS,,CLI-STL,11,232.8,30,1,0,
TP-STL-09,Hot Vibration Manifold Joint Durability,90.160 - 9.12,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-10,Joint Integrity,90238 – 9.14 and 90160 – 9.13,Rev. 01,AMBOS,,CLI-STL,18,81,27,1,0,
TP-STL-11,Burner Thermal Shock Test,90160 - 9.21,Rev. 01,AMBOS,,CLI-STL,24,1089,38,1,0,
TP-STL-12,Time to Dry,90238 - 5.3.1 and 7.T4193,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-13,NVH,90238 - 7.3,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-14,Modal Analysis,90238 - 7.3.8 and 7-A7515,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-15,Flow Restriction (Backpressure),90238 - 7.4 and 7.A3758,Rev. 01,AMBOS,,CLI-STL,11,8,18,1,0,
TP-STL-16,Internal Condensate Evacuation,90238 - 7.6,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-17,Load Data Acquisition,90238 - 9.4,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-18,Cold Fatigue,90238 - 9.8,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-19,Muffler Thermal Shock,90238 - 9.10,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-20,Decomposition Tube Internal Shock,90.301 - 9.1.1,Rev. 01,AMBOS,,CLI-STL,22,360,40,1,0,
TP-STL-21,Mixer resonance test,90.301 - 9.5,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-22,Tail Pipe Noise,B32 3140,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
TP-STL-23,Subjective Noise,B32 3140,Rev. 01,AMBOS,,CLI-STL,0,0,0,1,0,
